rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,e-value-kingdom,e-value-phylum,e-value-class,e-value-order,e-value-family,e-value-genus,per-ident-genus,per-ident-species
kingdom,Alveolata,,,,,,,e-50,,,,,,,
phylum,Alveolata,Apicomplexa,,,,,,,e-30,,,,,,
phylum,Alveolata,Chromerida,,,,,,,e-60,,,,,,
phylum,Alveolata,Ciliophora,,,,,,,e-45,,,,,,
phylum,Alveolata,Colpodellida,,,,,,,e-60,,,,,,
phylum,Alveolata,Colponemidia,,,,,,,e-60,,,,,,
phylum,Alveolata,Dinophyta,,,,,,,e-60,,,,,,
phylum,Alveolata,Perkinsida,,,,,,,e-60,,,,,,
kingdom,Amoebozoa,,,,,,,e-50,,,,,,,
kingdom,Apusozoa,,,,,,,e-60,,,,,,,
kingdom,Breviatae,,,,,,,e-60,,,,,,,
kingdom,Centroheliozoa,,,,,,,e-50,,,,,,,
kingdom,Choanoflagellata,,,,,,,e-55,,,,,,,
kingdom,Corallochytria,,,,,,,e-60,,,,,,,
kingdom,Cryptista,,,,,,,e-50,,,,,,,
kingdom,Euglenozoa,,,,,,,e-23,,,,,,,
kingdom,Filasteriae,,,,,,,e-65,,,,,,,
kingdom,Glaucocystoplantae,,,,,,,e-60,,,,,,,
kingdom,Haptista,,,,,,,e-55,,,,,,,
kingdom,Heterolobosa,,,,,,,e-32,,,,,,,
kingdom,Ichthyosporia,,,,,,,e-65,,,,,,,
kingdom,Metazoa,,,,,,,e-45,,,,,,,
phylum,Metazoa,Annelida,,,,,,,e-70,,,,,,
phylum,Metazoa,Arthropoda,,,,,,,e-60,,,,,,
phylum,Metazoa,Bryozoa,,,,,,,e-60,,,,,,
phylum,Metazoa,Cnidaria,,,,,,,e-70,,,,,,
phylum,Metazoa,Ctenophora,,,,,,,e-80,,,,,,
phylum,Metazoa,Gastrotricha,,,,,,,e-70,,,,,,
phylum,Metazoa,Mollusca,,,,,,,e-50,,,,,,
phylum,Metazoa,Nematoda,,,,,,,e-50,,,,,,
phylum,Metazoa,Platyhelminthes,,,,,,,e-55,,,,,,
phylum,Metazoa,Porifera,,,,,,,e-70,,,,,,
phylum,Metazoa,Rotifera,,,,,,,e-50,,,,,,
phylum,Metazoa,Tardigrada,,,,,,,e-50,,,,,,
