qseqid,kingdom,phylum,class,order,family,genus,species,notes
"001c458163857fed4ec8de7b14bc2128","Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Sporocadaceae","Sporocadus","Sporocadus rosigena","ITS pipeline completed"
"001d0917ad5444b5c79b2524e1fc2100","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleraceae","Genolevuria","Unclassified","ITS pipeline completed"
"0021a4153af72fa4be9a9728a32c5a90","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Unclassified","Unclassified","Unclassified","ITS pipeline completed"
"0023727d427766599bc31264129bb118","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Clavaria","Unclassified","ITS pipeline completed"
"0026605cffff3270d98f5efecb294fd5","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Unclassified","Unclassified","ITS pipeline completed"
"0030eefa7f457e2a13779bb02fe35eb8","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Myrothecium","Myrothecium chiangmaiense","ITS pipeline completed"
"0036365761144b9f58e79ac883537574","Fungi","Ascomycota","Dothideomycetes","Unclassified","Unclassified","Unclassified","Unclassified","ITS pipeline completed"
"0053a80293a1a3ad8f3c71048d77438e","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Incertomyces","Unclassified","ITS pipeline completed"
"005b508fdacb9448cbcbbf59589d9866","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Unclassified","Unclassified","ITS pipeline completed"
"0062ff6ac09b4ac885dbb7075ea84f56","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Unclassified","Unclassified","Unclassified","ITS pipeline completed"
"006724dee916fc65d1dece7ce075d211","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Unclassified","Unclassified","ITS pipeline completed"
"00712d65ef72af623453bf9b5c63415a","Fungi","Basidiomycota","Agaricomycetes","Russulales","Peniophoraceae","Peniophora","Peniophora rufa","ITS pipeline completed"
"0076458158b838055fbbd97689650e81","Fungi","Ascomycota","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","ITS pipeline completed"
"00782178b16f4f6b6f9e079fd4e9a7d8","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Marquandomyces","Marquandomyces marquandii","ITS pipeline completed"
"007a1ccbb3d8ad9c807ed7810ba909cd","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Xeromphalina","Xeromphalina setulipes","ITS pipeline completed"
"00aee52cc0ccefed781761aebb6ffd07","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe squarrosolutea","ITS pipeline completed"
"00b58a658b48c323413230bb0e0946d3","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Unclassified","Unclassified","Unclassified","ITS pipeline completed"
"00bdea16f5afea438d9bbcb3df8c156e","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Unclassified","Unclassified","ITS pipeline completed"
"00bec528707845a94dd8988e3bd95b63","Fungi","Ascomycota","Sordariomycetes","Pleurotheciales","Pleurotheciaceae","Phragmocephala","Phragmocephala atra","ITS pipeline completed"
"00bf0ba0392691af807fa374c8967dc2","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Unclassified","Unclassified","ITS pipeline completed"
"00cc16c5ba54b9d2e0b83c7cbc24bf2b","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria chlamydospora","ITS pipeline completed"
